Date/Time,PEOPLE BLOCK1:ZONE2:Zone Thermal Comfort Fanger Model PMV [](Hourly),PEOPLE BLOCK1:ZONE1:Zone Thermal Comfort Fanger Model PMV [](Hourly)
 01/15  19:00:00,0.049529941362582988,0.019405067596145639
 01/15  20:00:00,0.04595031659453411,0.03315814667447411
 01/15  21:00:00,0.03885621464717955,0.05232142142442435
 01/15  22:00:00,-0.01719986246696285,0.040832832543473088
 01/15  23:00:00,-0.10825774530026482,-0.014402953163416249
 01/15  24:00:00,-0.21079179688981926,-0.08822768697083804
 01/16  01:00:00,-0.30654249117330159,-0.16135562167200438
 01/16  02:00:00,-0.394724607140279,-0.23182229787988149
 01/16  03:00:00,-0.47489720100537127,-0.30139766977993878
 01/16  04:00:00,-0.5101405304231246,-0.372471072282716
