Date/Time,BLOCK1:ZONE2:Zone Thermostat Operative Temperature [C](Hourly),BLOCK1:ZONE1:Zone Thermostat Operative Temperature [C](Hourly),BLOCK2:ZONE2:Zone Thermostat Operative Temperature [C](Hourly),BLOCK2:ZONE1:Zone Thermostat Operative Temperature [C](Hourly),BLOCK1:ZONE2 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),BLOCK1:ZONE1 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),BLOCK2:ZONE2 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),BLOCK2:ZONE1 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),BLOCK1:ZONE2 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Hourly),BLOCK1:ZONE1 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Hourly),BLOCK2:ZONE2 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Hourly),BLOCK2:ZONE1 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Hourly) 
 03/29  02:00:00,18.601386120097438,16.993193005627845,16.87696252324807,18.742255410521942,0.0,0.0,0.0,0.0,0.0,6191.173674602278,6110.482079558642,0.0 
 03/29  03:00:00,18.53865784478662,18.228025466064246,18.061810872519345,18.962476274284704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 03/29  04:00:00,18.440858548300685,18.554365319139485,18.32267038241046,18.958983673523964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 03/29  05:00:00,18.312994649769593,18.637247285186334,18.375464543849375,18.884012857068086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 03/29  06:00:00,18.18390500329496,18.635823529430887,18.35233449495555,18.79501655615512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 03/29  07:00:00,18.97880430316147,17.57178975531327,19.274322158944255,17.450461698103382,0.0,0.0,0.0,0.0,0.0,6213.492509776027,0.0,2925.174504857326 
 03/29  08:00:00,16.12611644856631,19.329283910828003,16.594859161519402,19.23082075419115,0.0,0.0,0.0,0.0,2559.482210895911,185.62001128503636,6414.39756357535,64.09138137601978 
 03/29  09:00:00,16.793491759147965,16.905692998816534,16.947221186710344,16.91011227639874,0.0,0.0,0.0,0.0,2437.3549254918885,6546.44206945097,5932.227478012946,3037.114182730894 
 03/29  10:00:00,18.517368172044307,17.729964754566684,18.94673233344115,17.551805999509824,0.0,0.0,0.0,0.0,101.94900266725463,6244.807656734889,298.49686815594754,2896.780846262956 
 03/29  11:00:00,16.328817896464066,19.676360560616278,16.841130680519356,17.229114139997442,0.0,56.92883280340756,0.0,0.0,2477.5433423301356,208.71627882691013,6329.639056980488,2992.41740624065 
 03/29  12:00:00,17.175364155899118,20.87993120393139,17.797007618800365,19.32523441325627,0.0,324.79673125948153,0.0,0.8109148938400154,2457.9055729595184,0.0,6171.438395666836,25.863860721418664 
 03/29  13:00:00,18.705364597411084,20.88366423458782,19.309699487471782,20.867901849601438,0.0,722.5871053529374,0.0,113.71735940938501,74.32302660872669,0.0,126.7132627934089,0.0 
 03/29  14:00:00,16.279506987613843,20.88220842635272,16.654384240762596,20.883845543781206,0.0,614.1113761815525,0.0,270.41985516769853,2467.9288654991365,0.0,6132.306000337905,0.0 
 03/29  15:00:00,16.56613770814262,20.881597865980506,17.13224851984379,20.88173896827008,0.0,560.9878998741805,0.0,289.7536191758619,2188.518887211699,0.0,5526.854142049828,0.0 
 03/29  16:00:00,18.323151434143178,20.87793876376567,19.214978045274098,20.878640700732213,0.0,738.6286861403923,0.0,268.7759655598319,158.60223544034744,0.0,366.54442036153665,0.0 
 03/29  17:00:00,16.58586714103712,20.88030390118862,16.30799345418775,20.88094630967473,0.0,362.0454806940795,0.0,188.65776454674938,2202.701969137881,0.0,6016.379857599155,0.0 
 03/29  18:00:00,17.698386900614416,20.87873624247014,16.254415469245956,20.879177230454744,0.0,340.9669127689789,0.0,110.01672918967611,158.04918468045085,0.0,5000.9691457882445,0.0 
 03/29  19:00:00,17.907856635997078,17.238042260745267,17.336343982564642,17.263955150101317,0.0,0.0,0.0,0.0,0.0,5352.490679765049,465.28152502920375,2535.4499544738305 
 03/29  20:00:00,17.37567665027294,17.307216443137712,17.53580486125179,17.612985048558862,0.0,0.0,0.0,0.0,0.0,450.73579835197285,0.0,158.31964506984664 
 03/29  21:00:00,17.133545634942273,17.741190248821553,17.42683817283614,17.921580154397425,0.0,0.0,0.0,0.0,21.902751077159444,0.0,0.0,0.0 
 03/29  22:00:00,17.058884011708898,17.899329059864634,17.313832800220958,18.005666171080417,0.0,0.0,0.0,0.0,70.73619380994894,0.0,0.0,0.0 
 03/29  23:00:00,17.0414906848337,17.895299699931666,17.211059139348503,17.963828776615077,0.0,0.0,0.0,0.0,89.6895178105017,0.0,0.0,0.0 
 03/29  24:00:00,17.03730537942709,17.84921581266431,17.114887223001638,17.87865696774497,0.0,0.0,0.0,0.0,94.83005355438416,0.0,9.647438391155232,0.0 
 03/30  01:00:00,17.04571053962841,17.780368386156063,17.067936400743015,17.76959729301443,0.0,0.0,0.0,0.0,108.17294446916382,0.0,78.9252714458463,0.0 
 03/30  02:00:00,17.072097660319507,17.688883838201324,17.070344950169098,17.640471484021564,0.0,0.0,0.0,0.0,143.31127527938986,0.0,172.9733829831901,0.0 
 03/30  03:00:00,17.083741432839517,17.575026656195007,17.079231734706685,17.49291567004088,0.0,0.0,0.0,0.0,186.26450295321234,0.0,274.803924475459,0.0 
 03/30  04:00:00,17.095715411523315,17.465859186303906,17.090262232070977,17.341855185990145,0.0,0.0,0.0,0.0,172.36780558993792,0.0,281.05448023044903,0.0 
